class_name,class_original_classification,classification_final_list
Obra_Concluída,phase,can
Obra_Conveniada,role,is
Obra_Em_Andamento,role,is
Obra_Não_Iniciada,phase,is
Obra_Paralisada,phase,is
Obra_Planejada,subkind,is
Obra_Planejada_que_Necessita_de_Projeto,subkind,is
Obra_Recebida,role,is
Obra_com_Desapropriação,role,is
Obra_com_Inexecução,role,can
Obra_com_Intervenção,role,is
Obra_com_Licença_Ambiental,role,is
Obra_de_Concessão_Rodoviária,kind,is
Obra_de_Construção,subkind,is
Obra_de_Recuperação,subkind,is
Obra_de_Reparação,subkind,is
