class_name,class_original_classification,classification_final_list
Obra_Concluída,phase,is
Obra_Conveniada,role,can
Obra_Em_Andamento,role,can
Obra_Não_Iniciada,phase,can
Obra_Paralisada,phase,is
Obra_Planejada,subkind,can
Obra_Planejada_que_Necessita_de_Projeto,subkind,can
Obra_Recebida,role,is
Obra_com_Desapropriação,role,is
Obra_com_Inexecução,role,is
Obra_com_Intervenção,role,can
Obra_com_Licença_Ambiental,role,can
Obra_de_Concessão_Rodoviária,kind,can
Obra_de_Construção,subkind,can
Obra_de_Recuperação,subkind,can
Obra_de_Reparação,subkind,can
