class_name,class_original_classification,classification_final_list
Chamber,category,is
HeartAsBloodContainer,role,can
HeartAsPump,kind,not
HumanBody,kind,is
HumanHeart,kind,is
LeftAtrium,kind,is
LeftAtriumAsBloodContainer,role,is
LeftAtriumAsPump,role,can
LeftVentricle,kind,is
LeftVentricleAsBloodContainer,role,is
LeftVentricleAsPump,role,is
Muscle,category,is
RightAtrium,kind,is
RightAtriumAsBloodContainer,role,can
RightAtriumAsPump,role,is
RightVentricle,kind,is
RightVentricleAsBloodContainer,role,can
RightVentricleAsPump,role,can
