class_name,class_original_classification,classification_final_list
Consequence_For_Resulting_Event_Agent,kind,is
Consequence_On_Collective,subkind,is
Consequence_On_Person,subkind,can
Economical_Consequence,subkind,can
Goal_Transfer_From_Sender,subkind,is
Goal_Transfer_From_Sender_To_Influence_Third_Agent,subkind,is
Guarantees_Of_Non-Repetition,subkind,can
Integrity_Consequence,subkind,is
Justice,subkind,can
Legal_Consequence,subkind,is
Memory,subkind,is
Negative_Consequence_On_Agent,subkind,is
Physical_Consequence,subkind,is
Positive_Consequence_On_Agent,subkind,is
Psychological_Consequence,subkind,is
Remedy,subkind,is
Reparation,subkind,can
Reputational_Consequence,subkind,is
Territorial_Consequence,subkind,is
Truth,subkind,can
