class_name,class_original_classification,classification_final_list
A-FP_Binding,kind,can
Binding,kind,not
Sink_A-FEP_Binding,kind,can
Sink_AP_Binding,kind,can
Sink_LPF-FEP_Bound,kind,can
Sink_M-FEP_Binding,kind,can
Sink_M-FP_Binding,kind,can
Sink_PM-FEP_Binding,kind,can
Sink_SN-FEP_Binding,kind,can
Sink_SN-FP_Binding,kind,can
Source_A-FEP_Binding,kind,can
Source_AP_Binding,kind,can
Source_L-FP_Binding,kind,is
Source_LPF-FEP_Binding,kind,can
Source_M-FEP_Binding,kind,can
Source_M-FP_Binding,kind,can
Source_PM-FEP_Binding,kind,can
Source_SN-FEP_Binding,kind,can
Source_SN-FP_Binding,kind,can
