class_name,class_original_classification,classification_final_list
Active,role,can
Alimenta��o_dupla,subkind,can
Armazenamento_de_Dados,kind,is
Backup,role,can
Bank_of_Battery,subkind,can
Componente_de_IT,category,can
Computer_System,kind,not
Contingency,role,can
Cooler_Redundante,subkind,can
Cooling,kind,not
Cooling_Fan,subkind,can
Data_Storage,kind,is
Dispositive_de_drede_dual,subkind,can
Dual_Network_Device,subkind,can
Dual_Power_Inlet,subkind,can
Energia,kind,not
Fonte_Redundante,subkind,can
Garantia_eSuporte,kind,not
Generator,subkind,can
IT_Component,category,can
Link,subkind,can
Management_Suite,subkind,can
Monitoramento,kind,not
Monitoring,kind,not
Monitoring_Software,subkind,can
Network_Component,kind,not
Network_Provider,subkind,can
Offline,role,can
Online,role,can
Passive,role,can
Periferico,subkind,can
Peripheral,subkind,can
Physical_Media,subkind,can
Plataforma,category,not
Platform,category,not
Power,kind,not
Power_Distributor,subkind,can
Rede,category,not
Redundant_Power_Supply,subkind,can
Refrigea��o,kind,not
Sistema,kind,is
Sistema_Computacional,kind,not
Site,kind,is
System,kind,is
Telecom_Asset,subkind,can
Warranty_And_Support,kind,not
