class_name,class_original_classification,classification_final_list
EvacuationOrganization,subkind,can
FloodDefenseManager,role,is
FloodDefenseMeasuresImplementer,role,can
FloodDefenseOrganization,subkind,can
FloodEvacuationImplementer,role,can
FloodEvacuationManager,role,can
FloodForecaster,role,is
FloodManagementOrganization,subkind,can
HighWaterController,role,can
HighWaterProtectionImplementer,role,is
HighWaterProtectionMeasureEvaluator,role,can
Organization,kind,can
WeatherForecaster,role,can
WeatherOrganization,subkind,can
