execution,classes_b_total_classes_number,classes_b_tu_classes_types_v,classes_b_pk_classes_types_v,classes_b_tk_classes_types_v,classes_b_tu_classes_types_p,classes_b_pk_classes_types_p,classes_b_tk_classes_types_p,classes_a_total_classes_number,classes_a_tu_classes_types_v,classes_a_pk_classes_types_v,classes_a_tk_classes_types_v,classes_a_tu_classes_types_p,classes_a_pk_classes_types_p,classes_a_tk_classes_types_p,classif_b_total_classif_types_v,classif_b_unknown_classif_types_v,classif_b_known_classif_types_v,classif_a_total_classif_types_v,classif_a_unknown_classif_types_v,classif_a_known_classif_types_v,classif_b_unknown_classif_types_p,classif_b_known_classif_types_p,classif_a_unknown_classif_types_p,classif_a_known_classif_types_p,diff_tu_classes_types_v,diff_pk_classes_types_v,diff_tk_classes_types_v,diff_tu_classes_types_p,diff_pk_classes_types_p,diff_tk_classes_types_p,diff_unknown_classif_types_v,diff_known_classif_types_v,diff_unknown_classif_types_p,diff_known_classif_types_p,incomplete_classes_found
1,11,10,0,1,90.9090909090909,0.0,9.090909090909092,11,9,1,1,81.81818181818183,9.090909090909092,9.090909090909092,154,140,14,154,135,19,90.9090909090909,9.090909090909092,87.66233766233766,12.337662337662337,-1,1,0,-9.09090909090908,9.090909090909092,0.0,-5,5,-3.2467532467532436,3.2467532467532454,1
2,11,10,0,1,90.9090909090909,0.0,9.090909090909092,11,9,1,1,81.81818181818183,9.090909090909092,9.090909090909092,154,140,14,154,135,19,90.9090909090909,9.090909090909092,87.66233766233766,12.337662337662337,-1,1,0,-9.09090909090908,9.090909090909092,0.0,-5,5,-3.2467532467532436,3.2467532467532454,1
3,11,10,0,1,90.9090909090909,0.0,9.090909090909092,11,9,1,1,81.81818181818183,9.090909090909092,9.090909090909092,154,140,14,154,135,19,90.9090909090909,9.090909090909092,87.66233766233766,12.337662337662337,-1,1,0,-9.09090909090908,9.090909090909092,0.0,-5,5,-3.2467532467532436,3.2467532467532454,1
4,11,10,0,1,90.9090909090909,0.0,9.090909090909092,11,9,1,1,81.81818181818183,9.090909090909092,9.090909090909092,154,140,14,154,135,19,90.9090909090909,9.090909090909092,87.66233766233766,12.337662337662337,-1,1,0,-9.09090909090908,9.090909090909092,0.0,-5,5,-3.2467532467532436,3.2467532467532454,1
5,11,10,0,1,90.9090909090909,0.0,9.090909090909092,11,9,1,1,81.81818181818183,9.090909090909092,9.090909090909092,154,140,14,154,135,19,90.9090909090909,9.090909090909092,87.66233766233766,12.337662337662337,-1,1,0,-9.09090909090908,9.090909090909092,0.0,-5,5,-3.2467532467532436,3.2467532467532454,1
6,11,10,0,1,90.9090909090909,0.0,9.090909090909092,11,9,1,1,81.81818181818183,9.090909090909092,9.090909090909092,154,140,14,154,135,19,90.9090909090909,9.090909090909092,87.66233766233766,12.337662337662337,-1,1,0,-9.09090909090908,9.090909090909092,0.0,-5,5,-3.2467532467532436,3.2467532467532454,1
7,11,10,0,1,90.9090909090909,0.0,9.090909090909092,11,9,1,1,81.81818181818183,9.090909090909092,9.090909090909092,154,140,14,154,135,19,90.9090909090909,9.090909090909092,87.66233766233766,12.337662337662337,-1,1,0,-9.09090909090908,9.090909090909092,0.0,-5,5,-3.2467532467532436,3.2467532467532454,1
8,11,10,0,1,90.9090909090909,0.0,9.090909090909092,11,10,0,1,90.9090909090909,0.0,9.090909090909092,154,140,14,154,140,14,90.9090909090909,9.090909090909092,90.9090909090909,9.090909090909092,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1
9,11,10,0,1,90.9090909090909,0.0,9.090909090909092,11,9,1,1,81.81818181818183,9.090909090909092,9.090909090909092,154,140,14,154,135,19,90.9090909090909,9.090909090909092,87.66233766233766,12.337662337662337,-1,1,0,-9.09090909090908,9.090909090909092,0.0,-5,5,-3.2467532467532436,3.2467532467532454,1
10,11,10,0,1,90.9090909090909,0.0,9.090909090909092,11,0,10,1,0.0,90.9090909090909,9.090909090909092,154,140,14,154,70,84,90.9090909090909,9.090909090909092,45.45454545454545,54.54545454545454,-10,10,0,-90.9090909090909,90.9090909090909,0.0,-70,70,-45.45454545454545,45.454545454545446,0
11,11,10,0,1,90.9090909090909,0.0,9.090909090909092,11,9,1,1,81.81818181818183,9.090909090909092,9.090909090909092,154,140,14,154,135,19,90.9090909090909,9.090909090909092,87.66233766233766,12.337662337662337,-1,1,0,-9.09090909090908,9.090909090909092,0.0,-5,5,-3.2467532467532436,3.2467532467532454,1
