class_name,class_original_classification,classification_final_list
CategorematicConcept,subkind,can
CategorematicTerm,subkind,can
ComplexConcept,subkind,can
Concept,subkind,can
Expression,subkind,can
MentalSuppositum,role,is
MixedTerm,mixin,can
SemanticallyComplexExpression,role,can
SemanticallyComplexSpoken-WrittenTerm,subkind,is
SemanticallySimple_Expression,role,is
Spoken-WrittenSuppositum,role,can
Spoken-WrittenTerm,subkind,can
Suppositum,role,can
SyncategorematicConcept,subkind,is
SyncategorematicTerm,subkind,is
Term,kind,can
