class_name,class_original_classification,classification_final_list
_Detained_Group__Detained_Group,role,can
_Detained_Person__Detained_Person,role,can
_Human_Rights_Mechanism__Human_Rights_Mechanism,subkind,is
_Monitoring_Action_Participant__Monitoring_Event_Participant,role,can
_Natural_Person__Person,kind,can
_Organisation_Member__Member,role,can
_Perpetrator__Perpetrator,rolemixin,can
_UFO-C:_Agent__Agent,category,can
_UFO-C:_Social_Agent__Organisation_OR_Group,kind,can
_Victim__Victim,rolemixin,can
