execution,classes_b_total_classes_number,classes_b_tu_classes_types_v,classes_b_pk_classes_types_v,classes_b_tk_classes_types_v,classes_b_tu_classes_types_p,classes_b_pk_classes_types_p,classes_b_tk_classes_types_p,classes_a_total_classes_number,classes_a_tu_classes_types_v,classes_a_pk_classes_types_v,classes_a_tk_classes_types_v,classes_a_tu_classes_types_p,classes_a_pk_classes_types_p,classes_a_tk_classes_types_p,classif_b_total_classif_types_v,classif_b_unknown_classif_types_v,classif_b_known_classif_types_v,classif_a_total_classif_types_v,classif_a_unknown_classif_types_v,classif_a_known_classif_types_v,classif_b_unknown_classif_types_p,classif_b_known_classif_types_p,classif_a_unknown_classif_types_p,classif_a_known_classif_types_p,diff_tu_classes_types_v,diff_pk_classes_types_v,diff_tk_classes_types_v,diff_tu_classes_types_p,diff_pk_classes_types_p,diff_tk_classes_types_p,diff_unknown_classif_types_v,diff_known_classif_types_v,diff_unknown_classif_types_p,diff_known_classif_types_p,incomplete_classes_found
1,12,11,0,1,91.66666666666666,0.0,8.333333333333332,12,8,3,1,66.66666666666666,25.0,8.333333333333332,168,154,14,168,139,29,91.66666666666666,8.333333333333332,82.73809523809523,17.261904761904763,-3,3,0,-25.0,25.0,0.0,-15,15,-8.92857142857143,8.92857142857143,1
2,12,11,0,1,91.66666666666666,0.0,8.333333333333332,12,8,3,1,66.66666666666666,25.0,8.333333333333332,168,154,14,168,139,29,91.66666666666666,8.333333333333332,82.73809523809523,17.261904761904763,-3,3,0,-25.0,25.0,0.0,-15,15,-8.92857142857143,8.92857142857143,1
3,12,11,0,1,91.66666666666666,0.0,8.333333333333332,12,8,3,1,66.66666666666666,25.0,8.333333333333332,168,154,14,168,139,29,91.66666666666666,8.333333333333332,82.73809523809523,17.261904761904763,-3,3,0,-25.0,25.0,0.0,-15,15,-8.92857142857143,8.92857142857143,1
4,12,11,0,1,91.66666666666666,0.0,8.333333333333332,12,8,3,1,66.66666666666666,25.0,8.333333333333332,168,154,14,168,139,29,91.66666666666666,8.333333333333332,82.73809523809523,17.261904761904763,-3,3,0,-25.0,25.0,0.0,-15,15,-8.92857142857143,8.92857142857143,1
5,12,11,0,1,91.66666666666666,0.0,8.333333333333332,12,9,2,1,75.0,16.666666666666664,8.333333333333332,168,154,14,168,144,24,91.66666666666666,8.333333333333332,85.71428571428571,14.285714285714285,-2,2,0,-16.666666666666657,16.666666666666664,0.0,-10,10,-5.952380952380949,5.9523809523809526,1
6,12,11,0,1,91.66666666666666,0.0,8.333333333333332,12,0,10,2,0.0,83.33333333333334,16.666666666666664,168,154,14,168,70,98,91.66666666666666,8.333333333333332,41.66666666666667,58.333333333333336,-11,10,1,-91.66666666666666,83.33333333333334,8.333333333333332,-84,84,-49.999999999999986,50.0,1
7,12,11,0,1,91.66666666666666,0.0,8.333333333333332,12,0,10,2,0.0,83.33333333333334,16.666666666666664,168,154,14,168,70,98,91.66666666666666,8.333333333333332,41.66666666666667,58.333333333333336,-11,10,1,-91.66666666666666,83.33333333333334,8.333333333333332,-84,84,-49.999999999999986,50.0,1
8,12,11,0,1,91.66666666666666,0.0,8.333333333333332,12,8,3,1,66.66666666666666,25.0,8.333333333333332,168,154,14,168,139,29,91.66666666666666,8.333333333333332,82.73809523809523,17.261904761904763,-3,3,0,-25.0,25.0,0.0,-15,15,-8.92857142857143,8.92857142857143,1
9,12,11,0,1,91.66666666666666,0.0,8.333333333333332,12,8,3,1,66.66666666666666,25.0,8.333333333333332,168,154,14,168,139,29,91.66666666666666,8.333333333333332,82.73809523809523,17.261904761904763,-3,3,0,-25.0,25.0,0.0,-15,15,-8.92857142857143,8.92857142857143,1
10,12,11,0,1,91.66666666666666,0.0,8.333333333333332,12,8,3,1,66.66666666666666,25.0,8.333333333333332,168,154,14,168,139,29,91.66666666666666,8.333333333333332,82.73809523809523,17.261904761904763,-3,3,0,-25.0,25.0,0.0,-15,15,-8.92857142857143,8.92857142857143,1
11,12,11,0,1,91.66666666666666,0.0,8.333333333333332,12,4,7,1,33.33333333333333,58.333333333333336,8.333333333333332,168,154,14,168,109,59,91.66666666666666,8.333333333333332,64.88095238095238,35.11904761904761,-7,7,0,-58.33333333333333,58.333333333333336,0.0,-45,45,-26.785714285714278,26.78571428571428,6
