class_name,class_original_classification,classification_final_list
Abiotic_Component,category,is
Agent,category,is
Agent_in_Social_Relation,rolemixin,is
Atomic_Installation,subkind,is
Authority,category,is
Biotic_Component,category,is
Built_Component,category,is
Business_Emergency_Human_Resource,role,is
Business_Emergency_Material_Resource,rolemixin,can
Business_Human_Resource,role,is
Business_Non_Emergency_Human_Resource,role,is
Businessman,role,is
Civil_Defense_Organization,kind,can
Collective_Social_Agent,category,is
Complex_Installation,subkind,can
Component,category,can
Delegatee,rolemixin,not
Delegator,rolemixin,is
EP_Agent,category,is
EP_Agent_delegatee,role,is
EP_Agent_delegator,role,can
Emergency_Team,kind,is
Endangered_Component,rolemixin,is
Environmental_Component,category,is
Environmental_Physical_Component,category,is
Environmental_Social_Component,category,is
Evacuation_Geographical_Region,role,is
Evacuation_Installation,role,can
Evacuation_Local,rolemixin,is
Geographical_Point,category,can
Geographical_Region,category,can
Holder,rolemixin,can
Human_Resource,role,can
Individual_Social_Agent,category,is
Installation,kind,is
Jurisdiction,category,can
Macro_Political_Region,category,can
Material_Resource,category,is
Micro_Political_Region,category,is
Natural_Component,category,is
Non_Political_Region,category,can
Normatized_Social_Object,mixin,can
Organization,category,not
Organization_Holder,role,is
Owner,rolemixin,is
Person,kind,is
Person_Holder,role,is
Physical_Agent,category,is
Physical_Component,category,is
Political_Body,category,can
Political_Region,category,can
Protector,rolemixin,can
Public_Emergency_Human_Resource,role,can
Public_Emergency_Material_Resource,rolemixin,is
Safe_Component,rolemixin,can
Social_Agent,category,is
Social_Component,category,is
Spatial_Location,category,can
Under_Protection_Component,rolemixin,is
User,role,can
Visitor,role,can
