class_name,class_original_classification,classification_final_list
AmazonicRegion,category,is
AraucariasRegion,category,can
AtlanticRegion,category,can
CaatingaRegion,category,can
CerradoRegion,category,is
City,kind,is
CityLand,subkind,can
ClimateRegion,category,can
CocaisRegion,category,can
CollectionLocation,role,can
Community,subkind,can
ConservationUnity,subkind,can
CostalRegion,category,is
Country,kind,is
DevoluteLand,subkind,can
Equatorial,category,can
FederalArea,subkind,is
FederalLand,subkind,is
FieldsRegion,category,can
GeographicPoint,category,is
GeographicSpace,category,is
HumidSubtropical,category,is
IndiandLand,subkind,can
Location,kind,is
PatanalRegion,category,can
PhytophysiognomicRegion,category,can
PrivateLocation,subkind,can
PublicLocation,subkind,is
Semiarid,category,is
Settlement,subkind,is
SocialPoliticalRegion,category,can
SpatialLocation,category,can
State,kind,can
StateLand,subkind,can
Temperate,category,is
Thorp,subkind,can
Tropical,category,can
TropicalWetAndDry,category,is
Village,subkind,can
