class_name,class_original_classification,classification_final_list
Column_Selection,subkind,is
Cross_Validation,subkind,is
Data_Cleaning_Preprocessing_Operator,subkind,is
Data_Coding,subkind,can
Data_Create,subkind,is
Data_Discretization,subkind,is
Data_Missing_Imputation,subkind,can
Data_Normalization,subkind,can
Data_Outlier_Treatment,subkind,can
Data_Partition_Preprocessing_Operator,subkind,can
Data_Preprocessing_Executable_Operator,subkind,is
Data_Preprocessing_Operator,subkind,can
Data_Reduction_Preprocessing_Operator,subkind,is
Data_Sampling_Correction_Preprocessing_Operator,subkind,can
Data_Standardization,subkind,can
Data_Transformation_Preprocessing_Operator,subkind,can
Data_Type_Convert,subkind,can
Holdout,subkind,is
Line_Selection,subkind,can
Operator,kind,is
Oversampling,subkind,is
Undersampling,subkind,is
