class_name,class_original_classification,classification_final_list
Artifact,category,is
Base_Table,subkind,is
Check_Constraint,subkind,is
Column_Constraint,subkind,can
Column_Type_Constraint,subkind,is
Constraint,kind,is
DBMS,subkind,is
DBMS_Account,kind,is
DBMS_Item,category,is
Data_File,kind,can
Data_Schema,subkind,is
Data_Type_Constraint,subkind,is
Database,kind,is
Derived_Table,subkind,is
Dictionary,kind,is
Foreign_Key_Constraint,subkind,is
Information_Schema,subkind,can
Primary_Key_Constraint,subkind,can
RDBMS,subkind,can
RDBMS_Item,category,is
Relational_Database,subkind,is
Relational_Schema,subkind,can
Schema,kind,is
Software_Item,category,can
Software_System,subkind,can
Table,kind,is
