execution,classes_b_total_classes_number,classes_b_tu_classes_types_v,classes_b_pk_classes_types_v,classes_b_tk_classes_types_v,classes_b_tu_classes_types_p,classes_b_pk_classes_types_p,classes_b_tk_classes_types_p,classes_a_total_classes_number,classes_a_tu_classes_types_v,classes_a_pk_classes_types_v,classes_a_tk_classes_types_v,classes_a_tu_classes_types_p,classes_a_pk_classes_types_p,classes_a_tk_classes_types_p,classif_b_total_classif_types_v,classif_b_unknown_classif_types_v,classif_b_known_classif_types_v,classif_a_total_classif_types_v,classif_a_unknown_classif_types_v,classif_a_known_classif_types_v,classif_b_unknown_classif_types_p,classif_b_known_classif_types_p,classif_a_unknown_classif_types_p,classif_a_known_classif_types_p,diff_tu_classes_types_v,diff_pk_classes_types_v,diff_tk_classes_types_v,diff_tu_classes_types_p,diff_pk_classes_types_p,diff_tk_classes_types_p,diff_unknown_classif_types_v,diff_known_classif_types_v,diff_unknown_classif_types_p,diff_known_classif_types_p,incomplete_classes_found
1,10,9,0,1,90.0,0.0,10.0,10,6,3,1,60.0,30.0,10.0,140,126,14,140,99,41,90.0,10.0,70.71428571428572,29.28571428571429,-3,3,0,-30.0,30.0,0.0,-27,27,-19.285714285714278,19.28571428571429,4
2,10,9,0,1,90.0,0.0,10.0,10,6,3,1,60.0,30.0,10.0,140,126,14,140,99,41,90.0,10.0,70.71428571428572,29.28571428571429,-3,3,0,-30.0,30.0,0.0,-27,27,-19.285714285714278,19.28571428571429,4
3,10,9,0,1,90.0,0.0,10.0,10,6,3,1,60.0,30.0,10.0,140,126,14,140,99,41,90.0,10.0,70.71428571428572,29.28571428571429,-3,3,0,-30.0,30.0,0.0,-27,27,-19.285714285714278,19.28571428571429,4
4,10,9,0,1,90.0,0.0,10.0,10,6,3,1,60.0,30.0,10.0,140,126,14,140,99,41,90.0,10.0,70.71428571428572,29.28571428571429,-3,3,0,-30.0,30.0,0.0,-27,27,-19.285714285714278,19.28571428571429,4
5,10,9,0,1,90.0,0.0,10.0,10,6,3,1,60.0,30.0,10.0,140,126,14,140,99,41,90.0,10.0,70.71428571428572,29.28571428571429,-3,3,0,-30.0,30.0,0.0,-27,27,-19.285714285714278,19.28571428571429,4
6,10,9,0,1,90.0,0.0,10.0,10,7,0,3,70.0,0.0,30.0,140,126,14,140,98,42,90.0,10.0,70.0,30.0,-2,0,2,-20.0,0.0,20.0,-28,28,-20.0,20.0,3
7,10,9,0,1,90.0,0.0,10.0,10,8,0,2,80.0,0.0,20.0,140,126,14,140,112,28,90.0,10.0,80.0,20.0,-1,0,1,-10.0,0.0,10.0,-14,14,-10.0,10.0,2
8,10,9,0,1,90.0,0.0,10.0,10,6,3,1,60.0,30.0,10.0,140,126,14,140,99,41,90.0,10.0,70.71428571428572,29.28571428571429,-3,3,0,-30.0,30.0,0.0,-27,27,-19.285714285714278,19.28571428571429,4
9,10,9,0,1,90.0,0.0,10.0,10,6,3,1,60.0,30.0,10.0,140,126,14,140,99,41,90.0,10.0,70.71428571428572,29.28571428571429,-3,3,0,-30.0,30.0,0.0,-27,27,-19.285714285714278,19.28571428571429,4
10,10,9,0,1,90.0,0.0,10.0,10,9,0,1,90.0,0.0,10.0,140,126,14,140,126,14,90.0,10.0,90.0,10.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1
