execution,classes_b_total_classes_number,classes_b_tu_classes_types_v,classes_b_pk_classes_types_v,classes_b_tk_classes_types_v,classes_b_tu_classes_types_p,classes_b_pk_classes_types_p,classes_b_tk_classes_types_p,classes_a_total_classes_number,classes_a_tu_classes_types_v,classes_a_pk_classes_types_v,classes_a_tk_classes_types_v,classes_a_tu_classes_types_p,classes_a_pk_classes_types_p,classes_a_tk_classes_types_p,classif_b_total_classif_types_v,classif_b_unknown_classif_types_v,classif_b_known_classif_types_v,classif_a_total_classif_types_v,classif_a_unknown_classif_types_v,classif_a_known_classif_types_v,classif_b_unknown_classif_types_p,classif_b_known_classif_types_p,classif_a_unknown_classif_types_p,classif_a_known_classif_types_p,diff_tu_classes_types_v,diff_pk_classes_types_v,diff_tk_classes_types_v,diff_tu_classes_types_p,diff_pk_classes_types_p,diff_tk_classes_types_p,diff_unknown_classif_types_v,diff_known_classif_types_v,diff_unknown_classif_types_p,diff_known_classif_types_p,incomplete_classes_found
1,15,14,0,1,93.33333333333333,0.0,6.666666666666667,15,14,0,1,93.33333333333333,0.0,6.666666666666667,210,196,14,210,196,14,93.33333333333333,6.666666666666667,93.33333333333333,6.666666666666667,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1
2,15,14,0,1,93.33333333333333,0.0,6.666666666666667,15,14,0,1,93.33333333333333,0.0,6.666666666666667,210,196,14,210,196,14,93.33333333333333,6.666666666666667,93.33333333333333,6.666666666666667,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1
3,15,14,0,1,93.33333333333333,0.0,6.666666666666667,15,0,13,2,0.0,86.66666666666667,13.333333333333334,210,196,14,210,91,119,93.33333333333333,6.666666666666667,43.333333333333336,56.666666666666664,-14,13,1,-93.33333333333333,86.66666666666667,6.666666666666667,-105,105,-49.99999999999999,50.0,1
4,15,14,0,1,93.33333333333333,0.0,6.666666666666667,15,0,13,2,0.0,86.66666666666667,13.333333333333334,210,196,14,210,91,119,93.33333333333333,6.666666666666667,43.333333333333336,56.666666666666664,-14,13,1,-93.33333333333333,86.66666666666667,6.666666666666667,-105,105,-49.99999999999999,50.0,1
5,15,14,0,1,93.33333333333333,0.0,6.666666666666667,15,0,13,2,0.0,86.66666666666667,13.333333333333334,210,196,14,210,91,119,93.33333333333333,6.666666666666667,43.333333333333336,56.666666666666664,-14,13,1,-93.33333333333333,86.66666666666667,6.666666666666667,-105,105,-49.99999999999999,50.0,2
6,15,14,0,1,93.33333333333333,0.0,6.666666666666667,15,12,2,1,80.0,13.333333333333334,6.666666666666667,210,196,14,210,186,24,93.33333333333333,6.666666666666667,88.57142857142857,11.428571428571429,-2,2,0,-13.333333333333329,13.333333333333334,0.0,-10,10,-4.761904761904759,4.761904761904762,1
7,15,14,0,1,93.33333333333333,0.0,6.666666666666667,15,12,2,1,80.0,13.333333333333334,6.666666666666667,210,196,14,210,186,24,93.33333333333333,6.666666666666667,88.57142857142857,11.428571428571429,-2,2,0,-13.333333333333329,13.333333333333334,0.0,-10,10,-4.761904761904759,4.761904761904762,1
8,15,14,0,1,93.33333333333333,0.0,6.666666666666667,15,0,13,2,0.0,86.66666666666667,13.333333333333334,210,196,14,210,91,119,93.33333333333333,6.666666666666667,43.333333333333336,56.666666666666664,-14,13,1,-93.33333333333333,86.66666666666667,6.666666666666667,-105,105,-49.99999999999999,50.0,2
9,15,14,0,1,93.33333333333333,0.0,6.666666666666667,15,12,2,1,80.0,13.333333333333334,6.666666666666667,210,196,14,210,186,24,93.33333333333333,6.666666666666667,88.57142857142857,11.428571428571429,-2,2,0,-13.333333333333329,13.333333333333334,0.0,-10,10,-4.761904761904759,4.761904761904762,1
10,15,14,0,1,93.33333333333333,0.0,6.666666666666667,15,12,2,1,80.0,13.333333333333334,6.666666666666667,210,196,14,210,186,24,93.33333333333333,6.666666666666667,88.57142857142857,11.428571428571429,-2,2,0,-13.333333333333329,13.333333333333334,0.0,-10,10,-4.761904761904759,4.761904761904762,1
11,15,14,0,1,93.33333333333333,0.0,6.666666666666667,15,0,14,1,0.0,93.33333333333333,6.666666666666667,210,196,14,210,98,112,93.33333333333333,6.666666666666667,46.666666666666664,53.333333333333336,-14,14,0,-93.33333333333333,93.33333333333333,0.0,-98,98,-46.666666666666664,46.66666666666667,0
12,15,14,0,1,93.33333333333333,0.0,6.666666666666667,15,0,13,2,0.0,86.66666666666667,13.333333333333334,210,196,14,210,91,119,93.33333333333333,6.666666666666667,43.333333333333336,56.666666666666664,-14,13,1,-93.33333333333333,86.66666666666667,6.666666666666667,-105,105,-49.99999999999999,50.0,1
13,15,14,0,1,93.33333333333333,0.0,6.666666666666667,15,0,13,2,0.0,86.66666666666667,13.333333333333334,210,196,14,210,91,119,93.33333333333333,6.666666666666667,43.333333333333336,56.666666666666664,-14,13,1,-93.33333333333333,86.66666666666667,6.666666666666667,-105,105,-49.99999999999999,50.0,1
14,15,14,0,1,93.33333333333333,0.0,6.666666666666667,15,10,4,1,66.66666666666666,26.666666666666668,6.666666666666667,210,196,14,210,174,36,93.33333333333333,6.666666666666667,82.85714285714286,17.142857142857142,-4,4,0,-26.66666666666667,26.666666666666668,0.0,-22,22,-10.476190476190467,10.476190476190474,2
15,15,14,0,1,93.33333333333333,0.0,6.666666666666667,15,0,13,2,0.0,86.66666666666667,13.333333333333334,210,196,14,210,91,119,93.33333333333333,6.666666666666667,43.333333333333336,56.666666666666664,-14,13,1,-93.33333333333333,86.66666666666667,6.666666666666667,-105,105,-49.99999999999999,50.0,1
