execution,classes_b_total_classes_number,classes_b_tu_classes_types_v,classes_b_pk_classes_types_v,classes_b_tk_classes_types_v,classes_b_tu_classes_types_p,classes_b_pk_classes_types_p,classes_b_tk_classes_types_p,classes_a_total_classes_number,classes_a_tu_classes_types_v,classes_a_pk_classes_types_v,classes_a_tk_classes_types_v,classes_a_tu_classes_types_p,classes_a_pk_classes_types_p,classes_a_tk_classes_types_p,classif_b_total_classif_types_v,classif_b_unknown_classif_types_v,classif_b_known_classif_types_v,classif_a_total_classif_types_v,classif_a_unknown_classif_types_v,classif_a_known_classif_types_v,classif_b_unknown_classif_types_p,classif_b_known_classif_types_p,classif_a_unknown_classif_types_p,classif_a_known_classif_types_p,diff_tu_classes_types_v,diff_pk_classes_types_v,diff_tk_classes_types_v,diff_tu_classes_types_p,diff_pk_classes_types_p,diff_tk_classes_types_p,diff_unknown_classif_types_v,diff_known_classif_types_v,diff_unknown_classif_types_p,diff_known_classif_types_p,incomplete_classes_found
1,13,12,0,1,92.3076923076923,0.0,7.6923076923076925,13,10,2,1,76.92307692307693,15.384615384615385,7.6923076923076925,182,168,14,182,158,24,92.3076923076923,7.6923076923076925,86.81318681318682,13.186813186813188,-2,2,0,-15.384615384615373,15.384615384615385,0.0,-10,10,-5.494505494505489,5.494505494505495,1
2,13,12,0,1,92.3076923076923,0.0,7.6923076923076925,13,10,2,1,76.92307692307693,15.384615384615385,7.6923076923076925,182,168,14,182,158,24,92.3076923076923,7.6923076923076925,86.81318681318682,13.186813186813188,-2,2,0,-15.384615384615373,15.384615384615385,0.0,-10,10,-5.494505494505489,5.494505494505495,1
3,13,12,0,1,92.3076923076923,0.0,7.6923076923076925,13,8,4,1,61.53846153846154,30.76923076923077,7.6923076923076925,182,168,14,182,142,40,92.3076923076923,7.6923076923076925,78.02197802197803,21.978021978021978,-4,4,0,-30.769230769230766,30.76923076923077,0.0,-26,26,-14.285714285714278,14.285714285714285,4
4,13,12,0,1,92.3076923076923,0.0,7.6923076923076925,13,11,1,1,84.61538461538461,7.6923076923076925,7.6923076923076925,182,168,14,182,163,19,92.3076923076923,7.6923076923076925,89.56043956043956,10.43956043956044,-1,1,0,-7.692307692307693,7.6923076923076925,0.0,-5,5,-2.7472527472527446,2.7472527472527473,1
5,13,12,0,1,92.3076923076923,0.0,7.6923076923076925,13,11,1,1,84.61538461538461,7.6923076923076925,7.6923076923076925,182,168,14,182,163,19,92.3076923076923,7.6923076923076925,89.56043956043956,10.43956043956044,-1,1,0,-7.692307692307693,7.6923076923076925,0.0,-5,5,-2.7472527472527446,2.7472527472527473,1
6,13,12,0,1,92.3076923076923,0.0,7.6923076923076925,13,0,12,1,0.0,92.3076923076923,7.6923076923076925,182,168,14,182,84,98,92.3076923076923,7.6923076923076925,46.15384615384615,53.84615384615385,-12,12,0,-92.3076923076923,92.3076923076923,0.0,-84,84,-46.15384615384615,46.15384615384615,0
7,13,12,0,1,92.3076923076923,0.0,7.6923076923076925,13,10,2,1,76.92307692307693,15.384615384615385,7.6923076923076925,182,168,14,182,158,24,92.3076923076923,7.6923076923076925,86.81318681318682,13.186813186813188,-2,2,0,-15.384615384615373,15.384615384615385,0.0,-10,10,-5.494505494505489,5.494505494505495,1
8,13,12,0,1,92.3076923076923,0.0,7.6923076923076925,13,10,2,1,76.92307692307693,15.384615384615385,7.6923076923076925,182,168,14,182,158,24,92.3076923076923,7.6923076923076925,86.81318681318682,13.186813186813188,-2,2,0,-15.384615384615373,15.384615384615385,0.0,-10,10,-5.494505494505489,5.494505494505495,1
9,13,12,0,1,92.3076923076923,0.0,7.6923076923076925,13,9,3,1,69.23076923076923,23.076923076923077,7.6923076923076925,182,168,14,182,149,33,92.3076923076923,7.6923076923076925,81.86813186813187,18.13186813186813,-3,3,0,-23.07692307692308,23.076923076923077,0.0,-19,19,-10.439560439560438,10.439560439560438,3
10,13,12,0,1,92.3076923076923,0.0,7.6923076923076925,13,10,2,1,76.92307692307693,15.384615384615385,7.6923076923076925,182,168,14,182,158,24,92.3076923076923,7.6923076923076925,86.81318681318682,13.186813186813188,-2,2,0,-15.384615384615373,15.384615384615385,0.0,-10,10,-5.494505494505489,5.494505494505495,1
11,13,12,0,1,92.3076923076923,0.0,7.6923076923076925,13,10,2,1,76.92307692307693,15.384615384615385,7.6923076923076925,182,168,14,182,158,24,92.3076923076923,7.6923076923076925,86.81318681318682,13.186813186813188,-2,2,0,-15.384615384615373,15.384615384615385,0.0,-10,10,-5.494505494505489,5.494505494505495,1
12,13,12,0,1,92.3076923076923,0.0,7.6923076923076925,13,9,3,1,69.23076923076923,23.076923076923077,7.6923076923076925,182,168,14,182,149,33,92.3076923076923,7.6923076923076925,81.86813186813187,18.13186813186813,-3,3,0,-23.07692307692308,23.076923076923077,0.0,-19,19,-10.439560439560438,10.439560439560438,3
13,13,12,0,1,92.3076923076923,0.0,7.6923076923076925,13,10,2,1,76.92307692307693,15.384615384615385,7.6923076923076925,182,168,14,182,158,24,92.3076923076923,7.6923076923076925,86.81318681318682,13.186813186813188,-2,2,0,-15.384615384615373,15.384615384615385,0.0,-10,10,-5.494505494505489,5.494505494505495,1
