class_name,class_original_classification,classification_final_list
Artifact,category,is
Composite_Artifact,category,can
Data_Definitions,subkind,can
Data_Model,subkind,is
Design_Document,subkind,can
Design_Evaluation_Document,subkind,is
Document,kind,is
Information_Item,kind,is
Interface_Specification,subkind,can
Model,kind,is
Requirements_Document,subkind,can
Simple_Artifact,category,is
Software_Architecture,subkind,is
Software_Item,kind,can
Software_Product,kind,can
User_Interface_Specification,subkind,is
