class_name,class_original_classification,classification_final_list
Agent,category,is
Agent_Trustee,rolemixin,can
Aspectual_Belief,kind,is
Atomic_Intention,category,is
Belief,category,is
Capability_Belief,role,is
Complex_Intention,category,is
Desire,category,can
Disposition_Belief,subkind,can
Endurant,category,is
Intention,category,is
Intention_Belief,subkind,is
Mental_Moment,category,is
Moment,category,is
Object,category,is
Perception,category,is
Social_System,kind,can
Social_System_Trustee,role,can
Substantial,category,can
Trust-Warranting_Signal,rolemixin,is
Trust_Calibration_Signal,rolemixin,can
Trustee,rolemixin,is
Trustor,rolemixin,can
Trustworthiness_Evidence,category,is
Uncertainty_Signal,rolemixin,is
Vulnerability_Belief,role,can
