class_name,class_original_classification,classification_final_list
Column_Selection,subkind,is
Cross_Validation,subkind,is
Data_Cleaning_Preprocessing_Operator,subkind,is
Data_Coding,subkind,is
Data_Create,subkind,is
Data_Discretization,subkind,is
Data_Missing_Imputation,subkind,is
Data_Normalization,subkind,is
Data_Outlier_Treatment,subkind,is
Data_Partition_Preprocessing_Operator,subkind,is
Data_Preprocessing_Executable_Operator,subkind,is
Data_Preprocessing_Operator,subkind,is
Data_Reduction_Preprocessing_Operator,subkind,is
Data_Sampling_Correction_Preprocessing_Operator,subkind,is
Data_Standardization,subkind,is
Data_Transformation_Preprocessing_Operator,subkind,is
Data_Type_Convert,subkind,is
Holdout,subkind,can
Line_Selection,subkind,is
Operator,kind,is
Oversampling,subkind,is
Undersampling,subkind,can
