execution,classes_b_total_classes_number,classes_b_tu_classes_types_v,classes_b_pk_classes_types_v,classes_b_tk_classes_types_v,classes_b_tu_classes_types_p,classes_b_pk_classes_types_p,classes_b_tk_classes_types_p,classes_a_total_classes_number,classes_a_tu_classes_types_v,classes_a_pk_classes_types_v,classes_a_tk_classes_types_v,classes_a_tu_classes_types_p,classes_a_pk_classes_types_p,classes_a_tk_classes_types_p,classif_b_total_classif_types_v,classif_b_unknown_classif_types_v,classif_b_known_classif_types_v,classif_a_total_classif_types_v,classif_a_unknown_classif_types_v,classif_a_known_classif_types_v,classif_b_unknown_classif_types_p,classif_b_known_classif_types_p,classif_a_unknown_classif_types_p,classif_a_known_classif_types_p,diff_tu_classes_types_v,diff_pk_classes_types_v,diff_tk_classes_types_v,diff_tu_classes_types_p,diff_pk_classes_types_p,diff_tk_classes_types_p,diff_unknown_classif_types_v,diff_known_classif_types_v,diff_unknown_classif_types_p,diff_known_classif_types_p,incomplete_classes_found
1,19,18,0,1,94.73684210526315,0.0,5.263157894736842,19,17,1,1,89.47368421052632,5.263157894736842,5.263157894736842,266,252,14,266,243,23,94.73684210526315,5.263157894736842,91.35338345864662,8.646616541353383,-1,1,0,-5.263157894736835,5.263157894736842,0.0,-9,9,-3.383458646616532,3.3834586466165417,1
2,19,18,0,1,94.73684210526315,0.0,5.263157894736842,19,0,18,1,0.0,94.73684210526315,5.263157894736842,266,252,14,266,126,140,94.73684210526315,5.263157894736842,47.368421052631575,52.63157894736842,-18,18,0,-94.73684210526315,94.73684210526315,0.0,-126,126,-47.368421052631575,47.368421052631575,0
3,19,18,0,1,94.73684210526315,0.0,5.263157894736842,19,17,1,1,89.47368421052632,5.263157894736842,5.263157894736842,266,252,14,266,243,23,94.73684210526315,5.263157894736842,91.35338345864662,8.646616541353383,-1,1,0,-5.263157894736835,5.263157894736842,0.0,-9,9,-3.383458646616532,3.3834586466165417,1
4,19,18,0,1,94.73684210526315,0.0,5.263157894736842,19,17,1,1,89.47368421052632,5.263157894736842,5.263157894736842,266,252,14,266,243,23,94.73684210526315,5.263157894736842,91.35338345864662,8.646616541353383,-1,1,0,-5.263157894736835,5.263157894736842,0.0,-9,9,-3.383458646616532,3.3834586466165417,1
5,19,18,0,1,94.73684210526315,0.0,5.263157894736842,19,17,1,1,89.47368421052632,5.263157894736842,5.263157894736842,266,252,14,266,243,23,94.73684210526315,5.263157894736842,91.35338345864662,8.646616541353383,-1,1,0,-5.263157894736835,5.263157894736842,0.0,-9,9,-3.383458646616532,3.3834586466165417,1
6,19,18,0,1,94.73684210526315,0.0,5.263157894736842,19,17,1,1,89.47368421052632,5.263157894736842,5.263157894736842,266,252,14,266,243,23,94.73684210526315,5.263157894736842,91.35338345864662,8.646616541353383,-1,1,0,-5.263157894736835,5.263157894736842,0.0,-9,9,-3.383458646616532,3.3834586466165417,1
7,19,18,0,1,94.73684210526315,0.0,5.263157894736842,19,17,1,1,89.47368421052632,5.263157894736842,5.263157894736842,266,252,14,266,243,23,94.73684210526315,5.263157894736842,91.35338345864662,8.646616541353383,-1,1,0,-5.263157894736835,5.263157894736842,0.0,-9,9,-3.383458646616532,3.3834586466165417,1
8,19,18,0,1,94.73684210526315,0.0,5.263157894736842,19,17,1,1,89.47368421052632,5.263157894736842,5.263157894736842,266,252,14,266,243,23,94.73684210526315,5.263157894736842,91.35338345864662,8.646616541353383,-1,1,0,-5.263157894736835,5.263157894736842,0.0,-9,9,-3.383458646616532,3.3834586466165417,1
9,19,18,0,1,94.73684210526315,0.0,5.263157894736842,19,17,1,1,89.47368421052632,5.263157894736842,5.263157894736842,266,252,14,266,243,23,94.73684210526315,5.263157894736842,91.35338345864662,8.646616541353383,-1,1,0,-5.263157894736835,5.263157894736842,0.0,-9,9,-3.383458646616532,3.3834586466165417,1
10,19,18,0,1,94.73684210526315,0.0,5.263157894736842,19,17,1,1,89.47368421052632,5.263157894736842,5.263157894736842,266,252,14,266,243,23,94.73684210526315,5.263157894736842,91.35338345864662,8.646616541353383,-1,1,0,-5.263157894736835,5.263157894736842,0.0,-9,9,-3.383458646616532,3.3834586466165417,1
11,19,18,0,1,94.73684210526315,0.0,5.263157894736842,19,17,1,1,89.47368421052632,5.263157894736842,5.263157894736842,266,252,14,266,243,23,94.73684210526315,5.263157894736842,91.35338345864662,8.646616541353383,-1,1,0,-5.263157894736835,5.263157894736842,0.0,-9,9,-3.383458646616532,3.3834586466165417,1
12,19,18,0,1,94.73684210526315,0.0,5.263157894736842,19,17,1,1,89.47368421052632,5.263157894736842,5.263157894736842,266,252,14,266,243,23,94.73684210526315,5.263157894736842,91.35338345864662,8.646616541353383,-1,1,0,-5.263157894736835,5.263157894736842,0.0,-9,9,-3.383458646616532,3.3834586466165417,1
