execution,classes_b_total_classes_number,classes_b_tu_classes_types_v,classes_b_pk_classes_types_v,classes_b_tk_classes_types_v,classes_b_tu_classes_types_p,classes_b_pk_classes_types_p,classes_b_tk_classes_types_p,classes_a_total_classes_number,classes_a_tu_classes_types_v,classes_a_pk_classes_types_v,classes_a_tk_classes_types_v,classes_a_tu_classes_types_p,classes_a_pk_classes_types_p,classes_a_tk_classes_types_p,classif_b_total_classif_types_v,classif_b_unknown_classif_types_v,classif_b_known_classif_types_v,classif_a_total_classif_types_v,classif_a_unknown_classif_types_v,classif_a_known_classif_types_v,classif_b_unknown_classif_types_p,classif_b_known_classif_types_p,classif_a_unknown_classif_types_p,classif_a_known_classif_types_p,diff_tu_classes_types_v,diff_pk_classes_types_v,diff_tk_classes_types_v,diff_tu_classes_types_p,diff_pk_classes_types_p,diff_tk_classes_types_p,diff_unknown_classif_types_v,diff_known_classif_types_v,diff_unknown_classif_types_p,diff_known_classif_types_p,incomplete_classes_found
1,61,60,0,1,98.36065573770492,0.0,1.639344262295082,61,57,3,1,93.44262295081968,4.918032786885246,1.639344262295082,854,840,14,854,813,41,98.36065573770492,1.639344262295082,95.19906323185012,4.8009367681498825,-3,3,0,-4.9180327868852345,4.918032786885246,0.0,-27,27,-3.1615925058547987,3.1615925058548005,4
2,61,60,0,1,98.36065573770492,0.0,1.639344262295082,61,60,0,1,98.36065573770492,0.0,1.639344262295082,854,840,14,854,840,14,98.36065573770492,1.639344262295082,98.36065573770492,1.639344262295082,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1
3,61,60,0,1,98.36065573770492,0.0,1.639344262295082,61,58,2,1,95.08196721311475,3.278688524590164,1.639344262295082,854,840,14,854,826,28,98.36065573770492,1.639344262295082,96.72131147540983,3.278688524590164,-2,2,0,-3.278688524590166,3.278688524590164,0.0,-14,14,-1.639344262295083,1.639344262295082,2
4,61,60,0,1,98.36065573770492,0.0,1.639344262295082,61,57,3,1,93.44262295081968,4.918032786885246,1.639344262295082,854,840,14,854,825,29,98.36065573770492,1.639344262295082,96.60421545667447,3.395784543325527,-3,3,0,-4.9180327868852345,4.918032786885246,0.0,-15,15,-1.75644028103045,1.7564402810304451,1
5,61,60,0,1,98.36065573770492,0.0,1.639344262295082,61,59,1,1,96.72131147540983,1.639344262295082,1.639344262295082,854,840,14,854,831,23,98.36065573770492,1.639344262295082,97.30679156908664,2.693208430913349,-1,1,0,-1.639344262295083,1.639344262295082,0.0,-9,9,-1.0538641686182757,1.0538641686182668,2
6,61,60,0,1,98.36065573770492,0.0,1.639344262295082,61,57,3,1,93.44262295081968,4.918032786885246,1.639344262295082,854,840,14,854,813,41,98.36065573770492,1.639344262295082,95.19906323185012,4.8009367681498825,-3,3,0,-4.9180327868852345,4.918032786885246,0.0,-27,27,-3.1615925058547987,3.1615925058548005,4
7,61,60,0,1,98.36065573770492,0.0,1.639344262295082,61,58,2,1,95.08196721311475,3.278688524590164,1.639344262295082,854,840,14,854,822,32,98.36065573770492,1.639344262295082,96.25292740046838,3.747072599531616,-2,2,0,-3.278688524590166,3.278688524590164,0.0,-18,18,-2.107728337236537,2.107728337236534,3
8,61,60,0,1,98.36065573770492,0.0,1.639344262295082,61,60,0,1,98.36065573770492,0.0,1.639344262295082,854,840,14,854,840,14,98.36065573770492,1.639344262295082,98.36065573770492,1.639344262295082,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1
9,61,60,0,1,98.36065573770492,0.0,1.639344262295082,61,57,3,1,93.44262295081968,4.918032786885246,1.639344262295082,854,840,14,854,822,32,98.36065573770492,1.639344262295082,96.25292740046838,3.747072599531616,-3,3,0,-4.9180327868852345,4.918032786885246,0.0,-18,18,-2.107728337236537,2.107728337236534,4
10,61,60,0,1,98.36065573770492,0.0,1.639344262295082,61,58,0,3,95.08196721311475,0.0,4.918032786885246,854,840,14,854,812,42,98.36065573770492,1.639344262295082,95.08196721311475,4.918032786885246,-2,0,2,-3.278688524590166,0.0,3.278688524590164,-28,28,-3.278688524590166,3.278688524590164,3
